Year,Country,Fertility,Sex Ratio,Size
1960,Azerbaijan,5.878,106.4,1
1961,Azerbaijan,5.937,106.4,1
1962,Azerbaijan,5.961,106.4,1
1963,Azerbaijan,5.945,106.4,1
1964,Azerbaijan,5.888,106.4,1
1965,Azerbaijan,5.792,106.3,1
1966,Azerbaijan,5.663,106.3,1
1967,Azerbaijan,5.377,106.3,1
1968,Azerbaijan,5.222,106.3,1
1969,Azerbaijan,5.065,106.4,1
1970,Azerbaijan,4.913,106.4,1
1971,Azerbaijan,4.769,106.4,1
1972,Azerbaijan,4.615,106.4,1
1973,Azerbaijan,4.451,106.4,1
1974,Azerbaijan,4.33,106.4,1
1975,Azerbaijan,4.176,106.4,1
1976,Azerbaijan,4.018,106.4,1
1977,Azerbaijan,3.869,106.4,1
1978,Azerbaijan,3.73,106.4,1
1979,Azerbaijan,3.605,106.4,1
1980,Azerbaijan,3.497,106.4,1
1981,Azerbaijan,3.41,106.4,1
1982,Azerbaijan,3.343,106.4,1
1983,Azerbaijan,3.293,106.4,1
1984,Azerbaijan,3.259,106.4,1
1985,Azerbaijan,2.91,106.5,1
1986,Azerbaijan,2.9,106.4,1
1987,Azerbaijan,2.9026,106.4,1
1988,Azerbaijan,2.8,106.5,1
1989,Azerbaijan,2.8,106.60000000000001,1
1990,Azerbaijan,2.74,106.69999999999999,1
1991,Azerbaijan,2.87,106.89999999999999,1
1992,Azerbaijan,2.74,107.4,1
1993,Azerbaijan,2.7,108.0,1
1994,Azerbaijan,2.52,109.00000000000001,1
1995,Azerbaijan,2.29,110.1,1
1996,Azerbaijan,2.06,111.1,1
1997,Azerbaijan,2.07,112.20000000000002,1
1998,Azerbaijan,2.0,113.3,1
1999,Azerbaijan,2.07,114.39999999999999,1
2000,Azerbaijan,2.0,115.3,1
2001,Azerbaijan,1.8,115.99999999999999,1
2002,Azerbaijan,1.8,116.5,1
2003,Azerbaijan,1.9,116.7,1
2004,Azerbaijan,2.0535,116.8,1
2005,Azerbaijan,2.0,116.8,1
2006,Azerbaijan,1.97,116.8,1
2007,Azerbaijan,1.97,116.8,1
2008,Azerbaijan,1.9,116.8,1
2009,Azerbaijan,1.82,116.7,1
2010,Azerbaijan,1.92,116.5,1
2011,Azerbaijan,1.96,116.19999999999999,1
2012,Azerbaijan,2.0,115.9,1
2013,Azerbaijan,1.98,115.5,1
2014,Azerbaijan,1.97,115.10000000000001,1
2015,Azerbaijan,1.94,114.6,1
2016,Azerbaijan,1.9,114.3,1
2017,Azerbaijan,1.75,113.99999999999999,1
2018,Azerbaijan,1.73,113.79999999999998,1
2019,Azerbaijan,1.81,113.39999999999999,1
2020,Azerbaijan,1.7,112.99999999999999,1
2021,Azerbaijan,1.52,112.6,1
2022,Azerbaijan,1.67,112.20000000000002,1
2023,Azerbaijan,1.55,111.80000000000001,1
1960,China,4.451,106.1,1
1961,China,3.863,106.1,1
1962,China,6.085,106.2,1
1963,China,7.513,106.2,1
1964,China,6.672,106.2,1
1965,China,6.605,106.2,1
1966,China,6.307,106.2,1
1967,China,5.806,106.3,1
1968,China,6.508,106.3,1
1969,China,6.175,106.3,1
1970,China,6.085,106.4,1
1971,China,5.523,106.4,1
1972,China,5.112,106.4,1
1973,China,4.726,106.4,1
1974,China,4.17,106.5,1
1975,China,3.571,106.60000000000001,1
1976,China,3.235,106.69999999999999,1
1977,China,2.844,106.80000000000001,1
1978,China,2.716,106.89999999999999,1
1979,China,2.745,107.0,1
1980,China,2.739,107.1,1
1981,China,2.792,107.3,1
1982,China,2.972,107.5,1
1983,China,2.559,107.80000000000001,1
1984,China,2.607,108.1,1
1985,China,2.633,108.60000000000001,1
1986,China,2.721,109.1,1
1987,China,2.76,109.7,1
1988,China,2.539,110.4,1
1989,China,2.52,111.1,1
1990,China,2.514,111.80000000000001,1
1991,China,1.934,112.5,1
1992,China,1.776,113.19999999999999,1
1993,China,1.691,113.9,1
1994,China,1.628,114.6,1
1995,China,1.588,115.19999999999999,1
1996,China,1.554,115.7,1
1997,China,1.527,116.19999999999999,1
1998,China,1.522,116.6,1
1999,China,1.53,116.9,1
2000,China,1.628,117.19999999999999,1
2001,China,1.563,117.39999999999999,1
2002,China,1.566,117.6,1
2003,China,1.57,117.7,1
2004,China,1.605,117.8,1
2005,China,1.624,117.8,1
2006,China,1.644,117.8,1
2007,China,1.666,117.7,1
2008,China,1.701,117.5,1
2009,China,1.714,117.39999999999999,1
2010,China,1.687,117.10000000000001,1
2011,China,1.668,116.8,1
2012,China,1.798,116.39999999999999,1
2013,China,1.714,115.99999999999999,1
2014,China,1.769,115.5,1
2015,China,1.67,114.99999999999999,1
2016,China,1.772,114.5,1
2017,China,1.795,113.3,1
2018,China,1.539,113.9,1
2019,China,1.496,113.9,1
2020,China,1.236,111.20000000000002,1
2021,China,1.117,110.4,1
2022,China,1.034,110.60000000000001,1
2023,China,0.999,110.80000000000001,1
1960,Spain,2.86,106.1,1
1961,Spain,2.77,106.0,1
1962,Spain,2.8,105.89999999999999,1
1963,Spain,2.88,105.80000000000001,1
1964,Spain,3.01,105.60000000000001,1
1965,Spain,2.94,105.5,1
1966,Spain,2.91,105.69999999999999,1
1967,Spain,2.94,105.60000000000001,1
1968,Spain,2.87,105.60000000000001,1
1969,Spain,2.86,105.80000000000001,1
1970,Spain,2.84,105.89999999999999,1
1971,Spain,2.9,106.0,1
1972,Spain,2.87,106.0,1
1973,Spain,2.84,105.89999999999999,1
1974,Spain,2.88,105.89999999999999,1
1975,Spain,2.77,106.89999999999999,1
1976,Spain,2.77,106.60000000000001,1
1977,Spain,2.65,106.89999999999999,1
1978,Spain,2.54,107.2,1
1979,Spain,2.37,107.1,1
1980,Spain,2.22,107.80000000000001,1
1981,Spain,2.04,108.7,1
1982,Spain,1.94,108.5,1
1983,Spain,1.8,107.80000000000001,1
1984,Spain,1.73,108.0,1
1985,Spain,1.64,107.5,1
1986,Spain,1.56,107.5,1
1987,Spain,1.49,107.60000000000001,1
1988,Spain,1.45,107.2,1
1989,Spain,1.4,107.1,1
1990,Spain,1.36,107.0,1
1991,Spain,1.33,107.1,1
1992,Spain,1.31,106.69999999999999,1
1993,Spain,1.26,106.89999999999999,1
1994,Spain,1.19,106.69999999999999,1
1995,Spain,1.16,106.5,1
1996,Spain,1.14,106.3,1
1997,Spain,1.15,106.5,1
1998,Spain,1.13,107.0,1
1999,Spain,1.17,106.5,1
2000,Spain,1.22,106.60000000000001,1
2001,Spain,1.23,105.89999999999999,1
2002,Spain,1.25,106.4,1
2003,Spain,1.3,106.3,1
2004,Spain,1.31,106.80000000000001,1
2005,Spain,1.33,106.3,1
2006,Spain,1.36,106.5,1
2007,Spain,1.38,106.4,1
2008,Spain,1.45,106.69999999999999,1
2009,Spain,1.38,106.89999999999999,1
2010,Spain,1.37,106.4,1
2011,Spain,1.34,106.4,1
2012,Spain,1.32,106.4,1
2013,Spain,1.27,106.1,1
2014,Spain,1.32,106.60000000000001,1
2015,Spain,1.33,106.2,1
2016,Spain,1.33,105.80000000000001,1
2017,Spain,1.31,106.1,1
2018,Spain,1.26,105.80000000000001,1
2019,Spain,1.23,105.89999999999999,1
2020,Spain,1.18,106.1,1
2021,Spain,1.18,106.2,1
2022,Spain,1.16,106.3,1
2023,Spain,1.12,106.4,1
1960,India,5.921,105.2,1
1961,India,5.937,105.2,1
1962,India,5.953,105.2,1
1963,India,5.969,105.2,1
1964,India,5.979,105.2,1
1965,India,5.941,105.2,1
1966,India,5.881,105.3,1
1967,India,5.825,105.3,1
1968,India,5.76,105.3,1
1969,India,5.684,105.4,1
1970,India,5.624,105.5,1
1971,India,5.565,105.5,1
1972,India,5.482,105.60000000000001,1
1973,India,5.402,105.60000000000001,1
1974,India,5.325,105.80000000000001,1
1975,India,5.195,105.89999999999999,1
1976,India,5.13,106.2,1
1977,India,5.007,106.2,1
1978,India,4.888,106.3,1
1979,India,4.808,106.5,1
1980,India,4.775,106.69999999999999,1
1981,India,4.698,106.89999999999999,1
1982,India,4.62,106.80000000000001,1
1983,India,4.565,106.80000000000001,1
1984,India,4.516,106.89999999999999,1
1985,India,4.432,106.80000000000001,1
1986,India,4.399,106.80000000000001,1
1987,India,4.311,106.89999999999999,1
1988,India,4.222,106.89999999999999,1
1989,India,4.132,106.69999999999999,1
1990,India,4.045,106.89999999999999,1
1991,India,3.959,107.3,1
1992,India,3.877,107.60000000000001,1
1993,India,3.799,107.89999999999999,1
1994,India,3.723,108.4,1
1995,India,3.651,108.89999999999999,1
1996,India,3.582,109.00000000000001,1
1997,India,3.514,109.2,1
1998,India,3.446,109.3,1
1999,India,3.383,109.3,1
2000,India,3.35,109.5,1
2001,India,3.303,109.3,1
2002,India,3.217,109.1,1
2003,India,3.122,109.3,1
2004,India,3.046,109.4,1
2005,India,2.958,109.4,1
2006,India,2.867,109.3,1
2007,India,2.775,109.3,1
2008,India,2.711,109.4,1
2009,India,2.674,109.5,1
2010,India,2.598,109.60000000000001,1
2011,India,2.532,109.5,1
2012,India,2.47,109.2,1
2013,India,2.399,109.1,1
2014,India,2.293,109.1,1
2015,India,2.289,109.00000000000001,1
2016,India,2.284,108.80000000000001,1
2017,India,2.193,108.60000000000001,1
2018,India,2.184,108.4,1
2019,India,2.12,108.2,1
2020,India,2.047,107.89999999999999,1
2021,India,2.014,107.69999999999999,1
2022,India,1.994,107.5,1
2023,India,1.975,107.3,1
1960,Kenya,7.651,101.89999999999999,1
1961,Kenya,7.715,102.0,1
1962,Kenya,7.769,101.89999999999999,1
1963,Kenya,7.817,101.89999999999999,1
1964,Kenya,7.869,102.0,1
1965,Kenya,7.923,102.0,1
1966,Kenya,7.955,102.0,1
1967,Kenya,7.953,102.0,1
1968,Kenya,7.948,102.0,1
1969,Kenya,7.947,102.0,1
1970,Kenya,7.943,102.1,1
1971,Kenya,7.922,102.1,1
1972,Kenya,7.894,102.1,1
1973,Kenya,7.86,102.0,1
1974,Kenya,7.822,101.89999999999999,1
1975,Kenya,7.795,101.89999999999999,1
1976,Kenya,7.767,101.89999999999999,1
1977,Kenya,7.729,101.89999999999999,1
1978,Kenya,7.666,101.8,1
1979,Kenya,7.598,101.69999999999999,1
1980,Kenya,7.531,101.69999999999999,1
1981,Kenya,7.454,101.69999999999999,1
1982,Kenya,7.345,101.69999999999999,1
1983,Kenya,7.218,101.6,1
1984,Kenya,7.083,101.49999999999999,1
1985,Kenya,6.96,101.49999999999999,1
1986,Kenya,6.84,101.49999999999999,1
1987,Kenya,6.686,101.6,1
1988,Kenya,6.515,101.49999999999999,1
1989,Kenya,6.332,101.6,1
1990,Kenya,6.135,101.6,1
1991,Kenya,5.94,101.69999999999999,1
1992,Kenya,5.74,101.8,1
1993,Kenya,5.569,101.8,1
1994,Kenya,5.438,101.8,1
1995,Kenya,5.372,101.8,1
1996,Kenya,5.307,101.8,1
1997,Kenya,5.268,101.8,1
1998,Kenya,5.244,101.8,1
1999,Kenya,5.177,101.8,1
2000,Kenya,5.136,101.89999999999999,1
2001,Kenya,5.094,101.89999999999999,1
2002,Kenya,5.027,101.89999999999999,1
2003,Kenya,4.937,101.8,1
2004,Kenya,4.861,101.89999999999999,1
2005,Kenya,4.801,101.89999999999999,1
2006,Kenya,4.754,101.89999999999999,1
2007,Kenya,4.718,101.89999999999999,1
2008,Kenya,4.66,102.0,1
2009,Kenya,4.567,102.1,1
2010,Kenya,4.446,102.1,1
2011,Kenya,4.284,102.2,1
2012,Kenya,4.116,102.2,1
2013,Kenya,3.955,102.2,1
2014,Kenya,3.843,102.2,1
2015,Kenya,3.766,102.2,1
2016,Kenya,3.689,102.2,1
2017,Kenya,3.609,102.2,1
2018,Kenya,3.536,102.2,1
2019,Kenya,3.433,102.2,1
2020,Kenya,3.364,102.2,1
2021,Kenya,3.312,102.2,1
2022,Kenya,3.262,102.2,1
2023,Kenya,3.208,102.2,1
1960,"Korea, Rep.",5.994,106.2,1
1961,"Korea, Rep.",5.803,106.2,1
1962,"Korea, Rep.",5.562,106.2,1
1963,"Korea, Rep.",5.334,106.2,1
1964,"Korea, Rep.",5.068,106.2,1
1965,"Korea, Rep.",4.887,106.2,1
1966,"Korea, Rep.",4.782,106.2,1
1967,"Korea, Rep.",4.615,106.2,1
1968,"Korea, Rep.",4.51,106.2,1
1969,"Korea, Rep.",4.447,106.1,1
1970,"Korea, Rep.",4.53,106.1,1
1971,"Korea, Rep.",4.54,106.1,1
1972,"Korea, Rep.",4.12,106.1,1
1973,"Korea, Rep.",4.07,106.1,1
1974,"Korea, Rep.",3.77,106.1,1
1975,"Korea, Rep.",3.43,106.1,1
1976,"Korea, Rep.",3.0,106.1,1
1977,"Korea, Rep.",2.99,106.1,1
1978,"Korea, Rep.",2.64,106.1,1
1979,"Korea, Rep.",2.9,106.1,1
1980,"Korea, Rep.",2.82,106.1,1
1981,"Korea, Rep.",2.57,107.4,1
1982,"Korea, Rep.",2.39,107.3,1
1983,"Korea, Rep.",2.06,107.69999999999999,1
1984,"Korea, Rep.",1.74,108.7,1
1985,"Korea, Rep.",1.66,109.7,1
1986,"Korea, Rep.",1.58,111.20000000000002,1
1987,"Korea, Rep.",1.53,110.2,1
1988,"Korea, Rep.",1.55,112.7,1
1989,"Korea, Rep.",1.56,112.79999999999998,1
1990,"Korea, Rep.",1.57,115.7,1
1991,"Korea, Rep.",1.71,112.99999999999999,1
1992,"Korea, Rep.",1.76,113.79999999999998,1
1993,"Korea, Rep.",1.654,115.19999999999999,1
1994,"Korea, Rep.",1.656,114.99999999999999,1
1995,"Korea, Rep.",1.634,113.19999999999999,1
1996,"Korea, Rep.",1.574,111.5,1
1997,"Korea, Rep.",1.537,108.89999999999999,1
1998,"Korea, Rep.",1.464,110.00000000000001,1
1999,"Korea, Rep.",1.425,109.7,1
2000,"Korea, Rep.",1.48,110.00000000000001,1
2001,"Korea, Rep.",1.309,109.3,1
2002,"Korea, Rep.",1.178,109.7,1
2003,"Korea, Rep.",1.191,108.80000000000001,1
2004,"Korea, Rep.",1.164,108.2,1
2005,"Korea, Rep.",1.085,107.80000000000001,1
2006,"Korea, Rep.",1.132,107.4,1
2007,"Korea, Rep.",1.259,106.4,1
2008,"Korea, Rep.",1.192,106.3,1
2009,"Korea, Rep.",1.149,106.4,1
2010,"Korea, Rep.",1.226,106.60000000000001,1
2011,"Korea, Rep.",1.244,105.80000000000001,1
2012,"Korea, Rep.",1.297,105.69999999999999,1
2013,"Korea, Rep.",1.187,105.4,1
2014,"Korea, Rep.",1.205,105.3,1
2015,"Korea, Rep.",1.239,105.3,1
2016,"Korea, Rep.",1.172,105.2,1
2017,"Korea, Rep.",1.052,106.1,1
2018,"Korea, Rep.",0.977,105.5,1
2019,"Korea, Rep.",0.918,105.60000000000001,1
2020,"Korea, Rep.",0.837,105.69999999999999,1
2021,"Korea, Rep.",0.808,105.69999999999999,1
2022,"Korea, Rep.",0.778,105.80000000000001,1
2023,"Korea, Rep.",0.721,105.80000000000001,1
1960,United States,3.654,104.89999999999999,1
1961,United States,3.62,105.0,1
1962,United States,3.461,104.80000000000001,1
1963,United States,3.319,105.2,1
1964,United States,3.19,104.80000000000001,1
1965,United States,2.913,105.1,1
1966,United States,2.721,104.89999999999999,1
1967,United States,2.558,105.0,1
1968,United States,2.464,105.3,1
1969,United States,2.456,105.3,1
1970,United States,2.48,105.4,1
1971,United States,2.266,105.2,1
1972,United States,2.01,105.1,1
1973,United States,1.879,105.2,1
1974,United States,1.835,105.5,1
1975,United States,1.774,105.4,1
1976,United States,1.738,105.3,1
1977,United States,1.79,105.3,1
1978,United States,1.76,105.3,1
1979,United States,1.808,105.2,1
1980,United States,1.8395,105.3,1
1981,United States,1.812,105.2,1
1982,United States,1.8275,105.1,1
1983,United States,1.799,105.2,1
1984,United States,1.8065,105.0,1
1985,United States,1.844,105.2,1
1986,United States,1.8375,105.1,1
1987,United States,1.872,105.0,1
1988,United States,1.934,105.0,1
1989,United States,2.014,105.0,1
1990,United States,2.081,104.89999999999999,1
1991,United States,2.0625,104.60000000000001,1
1992,United States,2.046,105.0,1
1993,United States,2.0195,105.0,1
1994,United States,2.0015,104.80000000000001,1
1995,United States,1.978,104.89999999999999,1
1996,United States,1.976,104.69999999999999,1
1997,United States,1.971,104.80000000000001,1
1998,United States,1.999,104.69999999999999,1
1999,United States,2.0075,104.89999999999999,1
2000,United States,2.056,104.80000000000001,1
2001,United States,2.0305,104.60000000000001,1
2002,United States,2.0205,104.80000000000001,1
2003,United States,2.0475,104.89999999999999,1
2004,United States,2.0515,104.89999999999999,1
2005,United States,2.057,104.89999999999999,1
2006,United States,2.108,104.89999999999999,1
2007,United States,2.12,104.69999999999999,1
2008,United States,2.072,104.80000000000001,1
2009,United States,2.002,104.80000000000001,1
2010,United States,1.931,104.80000000000001,1
2011,United States,1.8945,104.89999999999999,1
2012,United States,1.8805,104.69999999999999,1
2013,United States,1.8575,104.89999999999999,1
2014,United States,1.8625,104.80000000000001,1
2015,United States,1.8435,104.80000000000001,1
2016,United States,1.8205,104.69999999999999,1
2017,United States,1.7655,104.80000000000001,1
2018,United States,1.7295,104.60000000000001,1
2019,United States,1.706,104.69999999999999,1
2020,United States,1.6415,104.69999999999999,1
2021,United States,1.664,104.80000000000001,1
2022,United States,1.6565,104.80000000000001,1
2023,United States,1.6165,104.89999999999999,1
1960,"Venezuela, RB",6.382,103.89999999999999,1
1961,"Venezuela, RB",6.298,104.0,1
1962,"Venezuela, RB",6.231,104.0,1
1963,"Venezuela, RB",6.155,103.89999999999999,1
1964,"Venezuela, RB",6.071,103.89999999999999,1
1965,"Venezuela, RB",5.977,103.89999999999999,1
1966,"Venezuela, RB",5.87,103.8,1
1967,"Venezuela, RB",5.748,103.69999999999999,1
1968,"Venezuela, RB",5.614,103.60000000000001,1
1969,"Venezuela, RB",5.469,103.69999999999999,1
1970,"Venezuela, RB",5.321,103.8,1
1971,"Venezuela, RB",5.174,103.89999999999999,1
1972,"Venezuela, RB",5.035,104.0,1
1973,"Venezuela, RB",4.906,104.0,1
1974,"Venezuela, RB",4.791,104.1,1
1975,"Venezuela, RB",4.686,104.2,1
1976,"Venezuela, RB",4.589,104.3,1
1977,"Venezuela, RB",4.494,104.4,1
1978,"Venezuela, RB",4.397,104.5,1
1979,"Venezuela, RB",4.298,104.5,1
1980,"Venezuela, RB",4.2,104.4,1
1981,"Venezuela, RB",4.104,104.4,1
1982,"Venezuela, RB",4.014,104.4,1
1983,"Venezuela, RB",3.933,104.5,1
1984,"Venezuela, RB",3.861,104.5,1
1985,"Venezuela, RB",3.794,104.60000000000001,1
1986,"Venezuela, RB",3.73,104.69999999999999,1
1987,"Venezuela, RB",3.665,104.80000000000001,1
1988,"Venezuela, RB",3.597,104.89999999999999,1
1989,"Venezuela, RB",3.524,105.2,1
1990,"Venezuela, RB",3.448,105.69999999999999,1
1991,"Venezuela, RB",3.37,106.4,1
1992,"Venezuela, RB",3.292,106.5,1
1993,"Venezuela, RB",3.218,106.5,1
1994,"Venezuela, RB",3.147,106.1,1
1995,"Venezuela, RB",3.082,106.1,1
1996,"Venezuela, RB",3.022,106.3,1
1997,"Venezuela, RB",2.967,106.3,1
1998,"Venezuela, RB",2.912,106.4,1
1999,"Venezuela, RB",2.856,106.4,1
2000,"Venezuela, RB",2.79,106.4,1
2001,"Venezuela, RB",2.779,106.5,1
2002,"Venezuela, RB",2.739,106.4,1
2003,"Venezuela, RB",2.703,106.3,1
2004,"Venezuela, RB",2.639,106.1,1
2005,"Venezuela, RB",2.629,105.89999999999999,1
2006,"Venezuela, RB",2.595,105.69999999999999,1
2007,"Venezuela, RB",2.524,105.3,1
2008,"Venezuela, RB",2.475,104.89999999999999,1
2009,"Venezuela, RB",2.422,105.2,1
2010,"Venezuela, RB",2.396,105.5,1
2011,"Venezuela, RB",2.398,105.60000000000001,1
2012,"Venezuela, RB",2.379,105.69999999999999,1
2013,"Venezuela, RB",2.334,105.69999999999999,1
2014,"Venezuela, RB",2.296,105.80000000000001,1
2015,"Venezuela, RB",2.253,105.80000000000001,1
2016,"Venezuela, RB",2.217,105.80000000000001,1
2017,"Venezuela, RB",2.183,105.80000000000001,1
2018,"Venezuela, RB",2.151,105.69999999999999,1
2019,"Venezuela, RB",2.131,105.60000000000001,1
2020,"Venezuela, RB",2.116,105.5,1
2021,"Venezuela, RB",2.105,105.4,1
2022,"Venezuela, RB",2.088,105.3,1
2023,"Venezuela, RB",2.079,105.3,1
